"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"IUSB","iShares Core Total USD Bond Market ETF","50.48","$3.4B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/iusb",
"HEWG","iShares Currency Hedged MSCI Germany ETF","27.82","$201.7M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hewg",
"SUSB","iShares ESG 1-5 Year USD Corporate Bond ETF","24.98","$83.68M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/susb",
"ESGD","iShares ESG MSCI EAFE ETF","65.07","$761.32M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/esgd",
"ESGE","iShares ESG MSCI EM ETF","34.85","$557.6M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/esge",
"ESGU","iShares ESG MSCI USA ETF","64.77","$204.03M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/esgu",
"SUSC","iShares ESG USD Corporate Bond ETF","24.96","$31.2M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/susc",
"XT","iShares Exponential Technologies ETF","38.9454","$2.44B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/xt",
"FALN","iShares Fallen Angels USD Bond ETF","26.5931","$81.11M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/faln",
"IFEU","iShares FTSE EPRA/NAREIT Europe Index Fund","37.5999","$30.08M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ifeu",
"IFGL","iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund","29.73","$487.57M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ifgl",
"BGRN","iShares Global Green Bond ETF","52.71","$26.36M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bgrn",
"IGF","iShares Global Infrastructure ETF","45.09","$2.83B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/igf",
"GNMA","iShares GNMA Bond ETF","49.32","$120.83M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/gnma",
"HYXE","iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF","51.34","$10.27M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hyxe",
"IGIB","iShares Intermediate-Term Corporate Bond ETF","55.155","$6.02B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/igib",
"IGOV","iShares International Treasury Bond ETF","48.5","$906.95M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/igov",
"EMB","iShares J.P. Morgan USD Emerging Markets Bond ETF","109.64","$15.53B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/emb",
"MBB","iShares MBS ETF","105.95","$16.18B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mbb",
"JKI","iShares Morningstar Mid-Cap ETF","159.4724","$470.44M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/jki",
"ACWX","iShares MSCI ACWI ex US Index Fund","47.52","$3.76B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/acwx",
"ACWI","iShares MSCI ACWI Index Fund","74.55","$10.78B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/acwi",
"AAXJ","iShares MSCI All Country Asia ex Japan Index Fund","72.4","$4.56B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/aaxj",
"EWZS","iShares MSCI Brazil Small-Cap ETF","15.34","$88.21M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ewzs",
"MCHI","iShares MSCI China ETF","63.72","$4.88B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mchi",
"SCZ","iShares MSCI EAFE Small-Cap ETF","59.31","$9.7B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/scz",
"EEMA","iShares MSCI Emerging Markets Asia ETF","68.89","$537.34M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/eema",
"EMXC","iShares MSCI Emerging Markets ex China ETF","49.8","$14.94M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/emxc",
